season,weather,Day,Month,DayPeriod,temp,humidity,windspeed,casual,registered,rented_bikes_count,Year,Profit
Winter,Clear,Wednesday,November,morning,,55.0,,32,157,189,2011,1225.3287671232877
Summer,Clear,Thursday,June,afternoon,,34.0,,91,778,869,2012,4910.428767123288
Fall,Mist,Monday,July,morning,27.06,,15.0013,1,27,28,2012,133.12876712328767
Fall,Clear,Monday,July,afternoon,35.26,,26.0027,57,415,472,2011,2764.728767123288
Fall,Clear,Saturday,September,morning,25.42,,,4,19,23,2011,150.32876712328766
Summer,Clear,Thursday,June,morning,,39.0,8.9981,7,106,113,2011,576.0287671232877
Winter,Mist,Monday,November,evening,15.58,62.0,16.9979,7,252,259,2012,1203.8287671232877
Fall,Clear,Monday,September,morning,,68.0,,5,7,12,2012,115.92876712328768
Spring,Clear,Wednesday,February,evening,8.2,,30.0026,3,29,32,2011,176.12876712328767
Summer,Clear,Saturday,May,morning,,88.0,6.0032,8,14,22,2012,197.62876712328767
Spring,Clear,Saturday,February,morning,8.2,,6.0032,0,9,9,2011,38.52876712328767
Summer,Mist,Thursday,June,evening,26.24,65.0,15.0013,46,196,242,2012,1633.8287671232877
Spring,Clear,Thursday,January,morning,,51.0,6.0032,0,5,5,2012,21.328767123287676
Summer,Clear,Sunday,June,evening,,39.0,,84,230,314,2012,2433.628767123288
Summer,Clear,Monday,April,evening,28.7,45.0,19.9995,24,97,121,2012,829.7287671232876
Fall,Clear,Saturday,September,morning,27.88,,0.0,2,20,22,2012,120.22876712328768
Fall,Clear,Saturday,August,morning,,83.0,11.0014,27,94,121,2011,868.4287671232877
Spring,Clear,Wednesday,February,afternoon,18.86,31.0,26.0027,26,96,122,2011,859.8287671232877
Fall,Clear,Sunday,August,morning,29.52,74.0,16.9979,1,18,19,2012,94.42876712328768
Fall,Clear,Thursday,August,morning,25.42,73.0,,0,4,4,2012,17.028767123287672
Winter,Clear,Wednesday,October,evening,20.5,,8.9981,54,360,414,2012,2476.628767123288
Spring,Clear,Thursday,February,evening,4.92,42.0,7.0015,1,33,34,2011,158.92876712328766
Winter,Clear,Tuesday,November,morning,9.02,64.0,7.0015,0,4,4,2012,17.028767123287672
Winter,Clear,Saturday,November,afternoon,14.76,50.0,7.0015,34,237,271,2012,1603.7287671232878
Summer,Clear,Sunday,April,afternoon,26.24,19.0,22.0028,232,244,476,2012,5039.428767123288
Winter,Clear,Saturday,November,evening,13.12,66.0,,29,136,165,2011,1083.4287671232876
Spring,Rainy,Thursday,March,morning,16.4,0.0,16.9979,6,5,11,2011,124.52876712328768
Fall,Clear,Wednesday,September,morning,24.6,,8.9981,50,278,328,2012,2055.228767123288
Spring,Clear,Friday,March,afternoon,17.22,44.0,,31,191,222,2012,1354.3287671232877
Spring,Mist,Tuesday,March,afternoon,14.76,57.0,19.0012,23,74,97,2011,713.6287671232876
Summer,Clear,Thursday,May,evening,22.14,77.0,19.0012,29,180,209,2011,1272.6287671232876
Fall,Clear,Thursday,August,morning,,54.0,8.9981,15,292,307,2011,1513.4287671232876
Fall,Clear,Sunday,September,afternoon,31.16,66.0,6.0032,219,284,503,2012,4987.828767123287
Winter,Clear,Monday,October,afternoon,22.96,46.0,6.0032,49,156,205,2011,1513.4287671232876
Spring,Clear,Sunday,January,morning,16.4,62.0,,58,143,201,2012,1612.3287671232877
Spring,Mist,Saturday,January,afternoon,18.86,,,47,47,94,2011,1010.3287671232875
Fall,Rainy,Wednesday,July,morning,,,6.0032,13,30,43,2011,352.4287671232877
Fall,Rainy,Thursday,September,afternoon,26.24,,19.0012,11,102,113,2011,627.6287671232876
Summer,Clear,Friday,June,morning,,,,0,4,4,2011,17.028767123287672
Winter,Clear,Thursday,October,afternoon,27.06,57.0,7.0015,75,812,887,2012,4781.428767123288
Winter,Clear,Tuesday,November,evening,12.3,61.0,15.0013,10,218,228,2012,1109.2287671232878
Summer,Clear,Monday,June,morning,,74.0,11.0014,9,15,24,2012,219.12876712328767
Fall,Clear,Thursday,September,morning,25.42,,8.9981,31,467,498,2011,2541.128767123288
Winter,Clear,Thursday,November,afternoon,14.76,57.0,12.998,10,563,573,2012,2592.728767123288
Fall,Clear,Saturday,September,afternoon,21.32,72.0,15.0013,141,218,359,2011,3362.428767123288
Winter,Clear,Tuesday,October,afternoon,21.32,,,68,260,328,2012,2287.428767123288
Spring,Clear,Thursday,February,morning,13.94,53.0,15.0013,0,6,6,2011,25.628767123287677
Fall,Mist,Thursday,September,evening,25.42,,11.0014,6,83,89,2011,459.9287671232877
Fall,Mist,Sunday,August,morning,,,0.0,112,186,298,2012,2726.028767123288
Summer,Clear,Sunday,April,morning,16.4,62.0,12.998,4,25,29,2011,176.12876712328767
Fall,Clear,Tuesday,September,morning,,77.0,7.0015,11,200,211,2012,1049.0287671232877
Winter,Clear,Tuesday,December,morning,,,,16,708,724,2012,3319.428767123288
Summer,Clear,Friday,May,morning,17.22,,16.9979,35,415,450,2011,2386.328767123288
Fall,Mist,Monday,July,afternoon,31.98,49.0,0.0,242,181,423,2011,4940.528767123287
Summer,Clear,Saturday,May,morning,,,,28,79,107,2012,821.1287671232876
Fall,Clear,Tuesday,August,morning,30.34,,,40,110,150,2011,1160.8287671232877
Fall,Clear,Thursday,July,afternoon,,33.0,,42,138,180,2011,1315.6287671232876
Spring,Clear,Saturday,February,morning,9.02,41.0,16.9979,13,71,84,2011,528.7287671232876
Fall,Clear,Friday,July,afternoon,36.9,,,99,194,293,2012,2536.828767123288
Spring,Mist,Friday,February,morning,11.48,93.0,11.0014,0,16,16,2012,68.62876712328767
Fall,Clear,Friday,July,morning,,73.0,,2,8,10,2011,68.62876712328767
Winter,Clear,Monday,October,morning,13.94,81.0,7.0015,2,8,10,2012,68.62876712328767
Winter,Clear,Saturday,November,evening,17.22,50.0,16.9979,32,139,171,2011,1147.9287671232876
Summer,Clear,Saturday,June,afternoon,,55.0,0.0,135,192,327,2011,3147.428767123288
Winter,Clear,Friday,December,afternoon,15.58,50.0,12.998,27,141,168,2011,1070.5287671232877
Fall,Clear,Saturday,July,morning,30.34,,11.0014,3,13,16,2012,107.32876712328768
Winter,Clear,Saturday,November,morning,10.66,,15.0013,30,138,168,2012,1109.2287671232878
Fall,Clear,Tuesday,September,morning,,,,54,142,196,2012,1539.2287671232878
Fall,Clear,Wednesday,September,morning,,88.0,,1,30,31,2011,146.02876712328765
Summer,Clear,Friday,May,evening,,41.0,,91,392,483,2012,3250.628767123288
Fall,Clear,Monday,August,afternoon,33.62,43.0,,41,109,150,2011,1173.7287671232878
Winter,Clear,Sunday,November,morning,12.3,61.0,,5,97,102,2012,502.9287671232877
Summer,Clear,Thursday,May,afternoon,27.06,27.0,11.0014,134,734,868,2012,5460.828767123287
Winter,Mist,Friday,November,afternoon,16.4,40.0,32.9975,63,199,262,2012,1939.128767123288
Winter,Clear,Tuesday,November,afternoon,13.12,53.0,15.0013,30,597,627,2012,3082.928767123288
Winter,Mist,Thursday,November,morning,16.4,94.0,6.0032,18,418,436,2011,2106.828767123288
Spring,Clear,Tuesday,February,afternoon,9.02,37.0,,3,61,64,2011,313.72876712328764
Winter,Clear,Friday,October,morning,16.4,87.0,7.0015,0,5,5,2011,21.328767123287676
Summer,Clear,Tuesday,June,morning,,49.0,26.0027,45,441,486,2011,2670.128767123288
Summer,Clear,Sunday,June,evening,27.06,69.0,12.998,84,195,279,2011,2283.128767123288
Fall,Clear,Sunday,July,evening,,,16.9979,65,162,227,2011,1814.428767123288
Winter,Clear,Thursday,October,morning,17.22,47.0,19.9995,0,3,3,2012,12.728767123287671
Winter,Mist,Wednesday,December,afternoon,15.58,54.0,6.0032,17,134,151,2011,868.4287671232877
Spring,Mist,Tuesday,February,morning,6.56,69.0,0.0,0,2,2,2011,8.42876712328767
Fall,Mist,Friday,July,morning,,48.0,,78,190,268,2012,2158.428767123288
Winter,Mist,Monday,December,morning,9.02,,7.0015,14,91,105,2011,631.9287671232877
Spring,Mist,Saturday,February,afternoon,9.02,,43.9989,3,105,108,2012,502.9287671232877
Fall,Clear,Wednesday,September,afternoon,28.7,,11.0014,78,200,278,2012,2201.428767123288
Fall,Clear,Monday,July,morning,26.24,89.0,,5,11,16,2011,133.12876712328767
Spring,Clear,Sunday,February,morning,10.66,60.0,6.0032,3,10,13,2011,94.42876712328768
Winter,Clear,Tuesday,October,morning,14.76,,,0,3,3,2012,12.728767123287671
Spring,Mist,Friday,March,evening,12.3,,15.0013,6,64,70,2011,378.2287671232877
Spring,Clear,Friday,February,morning,,56.0,,0,2,2,2012,8.42876712328767
Fall,Mist,Saturday,September,afternoon,27.88,34.0,19.0012,312,342,654,2012,6836.828767123287
Summer,Rainy,Thursday,May,morning,18.86,,12.998,19,608,627,2012,2941.028767123288
Summer,Rainy,Wednesday,May,morning,13.94,93.0,26.0027,5,74,79,2011,404.0287671232877
Spring,Rainy,Saturday,January,afternoon,,34.0,12.998,33,95,128,2011,975.9287671232876
Winter,Rainy,Saturday,November,afternoon,22.14,,0.0,227,378,605,2012,5529.628767123288
Winter,Clear,Friday,December,evening,,49.0,,9,102,111,2011,593.2287671232876
Spring,Rainy,Thursday,March,morning,16.4,0.0,11.0014,0,17,17,2011,72.92876712328767
Summer,Mist,Tuesday,June,afternoon,23.78,46.0,,82,194,276,2012,2244.428767123288
Fall,Clear,Tuesday,July,morning,36.08,,12.998,74,198,272,2012,2124.028767123288
Spring,Clear,Friday,January,morning,,,,2,59,61,2011,287.9287671232877
Summer,Clear,Thursday,April,morning,16.4,37.0,,61,290,351,2012,2296.028767123288
Summer,Clear,Monday,April,afternoon,31.16,45.0,22.0028,105,183,288,2012,2592.728767123288
Spring,Clear,Monday,January,morning,5.74,50.0,26.0027,0,30,30,2011,128.82876712328766
Summer,Clear,Sunday,June,afternoon,27.06,50.0,15.0013,203,260,463,2012,4609.428767123288
Spring,Clear,Sunday,February,afternoon,7.38,,,4,83,87,2012,425.5287671232877
Spring,Clear,Wednesday,February,morning,8.2,51.0,12.998,0,1,1,2011,4.128767123287672
Winter,Clear,Wednesday,November,morning,10.66,56.0,19.0012,4,20,24,2012,154.62876712328767
Spring,Rainy,Sunday,January,afternoon,13.94,81.0,11.0014,19,55,74,2011,563.1287671232876
Summer,Rainy,Sunday,April,morning,14.76,37.0,0.0,7,21,28,2012,210.52876712328765
Winter,Mist,Thursday,November,morning,12.3,65.0,,7,403,410,2012,1853.128767123288
Winter,Clear,Sunday,October,morning,18.04,88.0,,7,7,14,2011,150.32876712328766
Summer,Mist,Wednesday,April,morning,20.5,42.0,12.998,1,8,9,2012,51.42876712328767
Spring,Clear,Monday,January,morning,10.66,41.0,,0,14,14,2012,60.02876712328767
Winter,Clear,Saturday,December,morning,10.66,65.0,,9,62,71,2011,421.2287671232877
Summer,Clear,Monday,April,afternoon,23.78,28.0,36.9974,82,173,255,2012,2154.128767123288
Spring,Mist,Saturday,March,evening,,,,10,34,44,2011,318.02876712328765
Winter,Clear,Saturday,November,morning,13.12,76.0,,16,106,122,2012,730.8287671232877
Fall,Rainy,Sunday,August,evening,24.6,83.0,0.0,5,22,27,2011,180.42876712328768
Summer,Rainy,Sunday,May,afternoon,,,16.9979,60,177,237,2011,1792.9287671232876
Fall,Rainy,Friday,August,morning,,89.0,19.9995,3,41,44,2012,227.72876712328767
Spring,Mist,Friday,February,evening,13.12,66.0,,14,108,122,2012,705.0287671232877
Summer,Mist,Saturday,June,afternoon,33.62,46.0,8.9981,153,214,367,2011,3551.628767123288
Spring,Clear,Thursday,March,evening,,50.0,,9,76,85,2012,481.4287671232877
Spring,Mist,Friday,March,morning,,57.0,19.9995,18,60,78,2011,567.4287671232877
Fall,Clear,Sunday,July,morning,31.16,55.0,19.0012,147,244,391,2011,3577.428767123288
Winter,Mist,Sunday,December,morning,10.66,93.0,0.0,1,6,7,2012,42.82876712328767
Fall,Mist,Monday,July,morning,,53.0,,57,125,182,2012,1517.7287671232878
Winter,Clear,Monday,November,evening,,,11.0014,11,361,372,2012,1741.3287671232877
Spring,Mist,Thursday,January,morning,,69.0,6.0032,3,212,215,2012,963.0287671232876
Fall,Clear,Thursday,August,afternoon,28.7,,19.9995,88,435,523,2011,3383.928767123288
Spring,Clear,Monday,January,afternoon,10.66,44.0,,22,158,180,2012,1057.6287671232876
Fall,Mist,Thursday,July,morning,28.7,79.0,12.998,28,415,443,2011,2265.928767123288
Spring,Mist,Monday,January,evening,9.02,87.0,7.0015,1,51,52,2012,236.3287671232877
Summer,Clear,Tuesday,June,morning,22.14,56.0,22.0028,3,23,26,2011,150.32876712328766
Fall,Clear,Sunday,August,evening,29.52,84.0,,50,133,183,2011,1431.7287671232878
Summer,Clear,Tuesday,June,evening,29.52,70.0,,31,187,218,2011,1337.1287671232876
Winter,Clear,Friday,November,afternoon,13.94,,8.9981,31,123,154,2011,1061.9287671232876
Spring,Clear,Monday,February,morning,7.38,80.0,7.0015,0,2,2,2012,8.42876712328767
Spring,Mist,Tuesday,March,morning,18.86,,,0,1,1,2012,4.128767123287672
Summer,Clear,Sunday,June,evening,27.88,79.0,8.9981,57,110,167,2011,1453.2287671232878
Fall,Clear,Thursday,August,evening,31.16,66.0,,41,301,342,2012,1999.328767123288
Winter,Clear,Sunday,December,afternoon,11.48,48.0,,27,207,234,2011,1354.3287671232877
Spring,Mist,Saturday,January,morning,6.56,,6.0032,0,12,12,2011,51.42876712328767
Spring,Rainy,Wednesday,January,evening,13.94,,12.998,0,49,49,2012,210.52876712328765
Winter,Mist,Saturday,December,evening,14.76,57.0,12.998,23,178,201,2012,1160.8287671232877
Summer,Clear,Wednesday,June,evening,33.62,59.0,8.9981,61,323,384,2011,2437.928767123288
Fall,Mist,Saturday,September,afternoon,33.62,,0.0,205,258,463,2012,4635.228767123287
Summer,Clear,Monday,May,afternoon,27.06,61.0,,45,110,155,2011,1246.8287671232877
Spring,Clear,Thursday,March,morning,8.2,29.0,,10,40,50,2011,343.82876712328766
Winter,Mist,Wednesday,November,morning,12.3,,,49,234,283,2012,1848.828767123288
Summer,Mist,Sunday,April,morning,18.86,41.0,27.9993,119,185,304,2011,2842.128767123288
Fall,Mist,Saturday,August,evening,,83.0,26.0027,40,127,167,2011,1233.9287671232876
Spring,Mist,Thursday,February,morning,13.94,,15.0013,2,4,6,2011,51.42876712328767
Summer,Clear,Friday,June,evening,,,7.0015,83,250,333,2012,2502.428767123288
Spring,Clear,Wednesday,March,afternoon,22.14,,,19,91,110,2011,717.9287671232877
Fall,Mist,Tuesday,September,morning,26.24,,,3,45,48,2012,244.92876712328768
Spring,Mist,Thursday,March,afternoon,,42.0,,26,85,111,2011,812.5287671232877
Summer,Mist,Monday,April,morning,,51.0,26.0027,24,134,158,2011,988.8287671232875
Fall,Mist,Sunday,September,morning,27.06,47.0,,194,391,585,2012,5017.928767123288
Winter,Mist,Monday,December,morning,,87.0,6.0032,12,178,190,2011,971.6287671232876
Summer,Mist,Sunday,June,morning,22.14,60.0,,27,142,169,2012,1074.8287671232877
Winter,Rainy,Wednesday,November,evening,12.3,56.0,16.9979,4,56,60,2012,309.4287671232877
Winter,Mist,Monday,October,morning,21.32,,,26,314,340,2012,1797.2287671232878
Summer,Clear,Thursday,April,evening,,31.0,,64,423,487,2012,2919.528767123288
Summer,Clear,Wednesday,May,evening,,54.0,,91,499,590,2012,3710.728767123288
Spring,Clear,Sunday,March,morning,14.76,,12.998,2,8,10,2011,68.62876712328767
Fall,Rainy,Wednesday,September,morning,24.6,88.0,6.0032,3,83,86,2011,408.32876712328766
Winter,Mist,Monday,November,morning,12.3,52.0,,1,38,39,2012,180.42876712328768
Spring,Clear,Saturday,March,afternoon,,27.0,19.0012,117,262,379,2012,3138.828767123288
Fall,Clear,Monday,July,afternoon,33.62,41.0,,236,216,452,2011,4987.828767123287
Spring,Clear,Wednesday,February,morning,8.2,,6.0032,0,9,9,2011,38.52876712328767
Spring,Clear,Friday,March,afternoon,19.68,,,31,377,408,2012,2154.128767123288
Winter,Clear,Sunday,October,morning,25.42,53.0,6.0032,189,234,423,2011,4256.828767123287
Fall,Mist,Friday,September,morning,22.96,88.0,,17,437,454,2012,2171.328767123288
Spring,Clear,Saturday,January,evening,18.04,,,22,118,140,2012,885.6287671232876
Spring,Clear,Monday,January,morning,4.92,,,0,1,1,2011,4.128767123287672
Winter,Clear,Wednesday,December,afternoon,19.68,33.0,,20,265,285,2012,1483.3287671232877
Fall,Clear,Tuesday,July,afternoon,37.72,29.0,0.0,95,675,770,2012,4536.328767123287
Summer,Clear,Saturday,June,afternoon,,37.0,,256,315,571,2012,5757.528767123287
Fall,Mist,Thursday,August,morning,27.88,,0.0,3,17,20,2011,124.52876712328768
Summer,Clear,Friday,June,evening,30.34,30.0,,95,460,555,2012,3611.828767123288
Fall,Clear,Friday,August,morning,30.34,55.0,11.0014,82,149,231,2012,2050.928767123288
Summer,Clear,Sunday,June,morning,26.24,73.0,8.9981,32,84,116,2012,911.4287671232876
Winter,Clear,Monday,December,morning,13.12,,0.0,0,8,8,2011,34.22876712328767
Winter,Clear,Tuesday,December,afternoon,18.86,47.0,,56,191,247,2012,1784.3287671232877
Summer,Clear,Wednesday,May,morning,18.86,82.0,,6,93,99,2011,502.9287671232877
Fall,Mist,Wednesday,August,morning,,,,19,252,271,2011,1410.2287671232878
Winter,Clear,Friday,November,afternoon,,51.0,,33,161,194,2011,1259.7287671232878
Summer,Clear,Thursday,April,morning,14.76,,8.9981,0,3,3,2011,12.728767123287671
Spring,Clear,Monday,January,evening,9.84,38.0,,4,89,93,2012,451.32876712328766
Winter,Clear,Sunday,December,morning,,,8.9981,7,64,71,2011,395.4287671232877
Fall,Clear,Friday,August,morning,26.24,83.0,0.0,1,7,8,2011,47.12876712328767
Summer,Rainy,Sunday,April,evening,,,7.0015,7,61,68,2012,382.5287671232877
Winter,Rainy,Wednesday,December,evening,,93.0,30.0026,0,13,13,2011,55.72876712328767
Winter,Rainy,Saturday,November,morning,,46.0,26.0027,56,284,340,2012,2184.228767123288
Summer,Mist,Saturday,April,morning,12.3,87.0,15.0013,5,26,31,2011,197.62876712328767
Summer,Mist,Tuesday,May,morning,22.96,,8.9981,1,3,4,2012,29.928767123287678
Spring,Clear,Monday,February,evening,13.94,,43.9989,1,44,45,2011,206.22876712328767
Winter,Clear,Tuesday,November,morning,14.76,81.0,8.9981,3,8,11,2011,85.82876712328768
Fall,Mist,Sunday,September,evening,22.14,68.0,7.0015,54,191,245,2011,1749.9287671232876
Winter,Clear,Wednesday,November,evening,14.76,,,7,99,106,2011,545.9287671232877
Winter,Mist,Friday,December,morning,13.94,71.0,12.998,36,204,240,2012,1496.2287671232878
Summer,Mist,Friday,April,afternoon,13.94,46.0,27.9993,30,81,111,2011,864.1287671232876
Winter,Mist,Saturday,December,afternoon,14.76,71.0,0.0,110,369,479,2012,3478.528767123288
Summer,Mist,Sunday,April,morning,15.58,94.0,6.0032,17,38,55,2011,455.6287671232877
Winter,Mist,Friday,November,morning,13.94,53.0,,27,355,382,2012,1990.728767123288
Winter,Clear,Tuesday,November,morning,,62.0,,21,114,135,2011,851.2287671232876
Winter,Clear,Monday,December,afternoon,16.4,94.0,6.0032,14,493,507,2012,2360.528767123288
Summer,Clear,Sunday,June,morning,,,8.9981,31,117,148,2012,1036.1287671232876
Summer,Clear,Tuesday,May,morning,,54.0,12.998,1,3,4,2011,29.928767123287678
Winter,Clear,Tuesday,December,morning,17.22,82.0,11.0014,3,5,8,2012,72.92876712328767
Winter,Mist,Monday,November,morning,12.3,56.0,11.0014,2,4,6,2012,51.42876712328767
Spring,Mist,Wednesday,January,morning,18.86,,22.0028,3,14,17,2012,111.62876712328767
Winter,Clear,Monday,December,morning,10.66,65.0,16.9979,22,105,127,2011,829.7287671232876
Spring,Mist,Sunday,January,morning,6.56,48.0,26.0027,1,24,25,2012,120.22876712328768
Summer,Mist,Thursday,June,morning,29.52,,,0,2,2,2011,8.42876712328767
Winter,Clear,Saturday,October,morning,22.14,,,2,8,10,2012,68.62876712328767
Winter,Clear,Sunday,November,morning,17.22,58.0,6.0032,104,216,320,2011,2717.428767123288
Summer,Clear,Thursday,May,morning,18.86,,19.9995,1,23,24,2012,115.92876712328768
Spring,Clear,Monday,February,afternoon,14.76,23.0,,8,399,407,2012,1853.128767123288
Fall,Clear,Tuesday,August,evening,31.16,,12.998,94,533,627,2012,3908.528767123288
Spring,Mist,Monday,January,morning,,,15.0013,3,30,33,2011,180.42876712328768
Fall,Mist,Wednesday,July,morning,29.52,,0.0,24,103,127,2011,855.5287671232877
Fall,Clear,Friday,July,afternoon,29.52,,,102,394,496,2011,3448.428767123288
Winter,Clear,Monday,November,evening,13.12,49.0,16.9979,13,228,241,2012,1203.8287671232877
Fall,Clear,Thursday,September,morning,27.88,44.0,,57,240,297,2012,2012.228767123288
Winter,Mist,Wednesday,November,morning,,94.0,,5,26,31,2011,197.62876712328767
Winter,Clear,Friday,October,afternoon,22.14,39.0,,62,361,423,2011,2618.528767123288
Winter,Clear,Thursday,November,morning,13.94,76.0,12.998,3,96,99,2011,464.2287671232877
Fall,Clear,Sunday,July,morning,,73.0,,10,11,21,2011,219.12876712328767
Winter,Clear,Wednesday,October,afternoon,26.24,41.0,15.0013,30,189,219,2011,1328.5287671232877
Spring,Rainy,Thursday,February,afternoon,13.12,,12.998,1,30,31,2012,146.02876712328765
Winter,Rainy,Wednesday,November,afternoon,19.68,94.0,7.0015,16,50,66,2011,490.0287671232877
Summer,Clear,Thursday,May,evening,19.68,94.0,,9,63,72,2011,425.5287671232877
Summer,Clear,Friday,April,morning,18.04,62.0,19.9995,21,279,300,2011,1560.7287671232878
Winter,Clear,Friday,November,afternoon,18.04,47.0,19.9995,54,147,201,2011,1560.7287671232878
Winter,Clear,Tuesday,December,afternoon,,49.0,,56,244,300,2012,2012.228767123288
Summer,Mist,Sunday,May,afternoon,,64.0,,197,368,565,2012,4970.628767123288
Fall,Mist,Friday,September,afternoon,21.32,48.0,8.9981,86,480,566,2011,3543.028767123288
Fall,Clear,Friday,August,morning,,53.0,,0,5,5,2011,21.328767123287676
Summer,Clear,Tuesday,May,morning,22.14,88.0,12.998,18,331,349,2012,1732.7287671232878
Winter,Clear,Thursday,November,evening,,52.0,15.0013,0,58,58,2011,249.22876712328767
Winter,Clear,Wednesday,December,evening,14.76,62.0,7.0015,9,259,268,2011,1268.3287671232877
Summer,Clear,Saturday,June,morning,22.96,56.0,,27,60,87,2011,722.2287671232876
Fall,Clear,Thursday,August,morning,31.16,35.0,16.9979,59,128,187,2011,1565.0287671232877
Spring,Clear,Friday,February,morning,13.94,,,25,191,216,2012,1251.1287671232876
Spring,Clear,Saturday,February,afternoon,12.3,,27.9993,32,103,135,2011,993.1287671232876
Fall,Clear,Monday,July,morning,27.88,74.0,12.998,19,102,121,2011,765.2287671232876
Fall,Clear,Friday,September,morning,,71.0,19.0012,16,283,299,2011,1491.9287671232876
Fall,Clear,Saturday,August,morning,,78.0,15.0013,14,39,53,2011,408.32876712328766
Fall,Clear,Tuesday,July,evening,31.16,,7.0015,59,225,284,2011,1982.128767123288
Spring,Clear,Saturday,March,morning,16.4,,,4,9,13,2011,107.32876712328768
Summer,Clear,Friday,May,morning,,78.0,7.0015,15,33,48,2012,399.7287671232877
Spring,Mist,Thursday,January,morning,,87.0,,2,218,220,2012,971.6287671232876
Fall,Clear,Saturday,July,morning,30.34,48.0,15.0013,171,225,396,2011,3908.528767123288
Winter,Rainy,Wednesday,October,evening,,,,13,41,54,2011,399.7287671232877
Fall,Clear,Friday,August,morning,29.52,34.0,8.9981,27,178,205,2011,1229.6287671232876
Fall,Mist,Monday,September,morning,29.52,70.0,12.998,141,212,353,2011,3336.628767123288
Winter,Clear,Saturday,October,morning,21.32,77.0,,120,217,337,2011,2996.928767123288
Spring,Clear,Thursday,March,morning,21.32,68.0,7.0015,34,130,164,2012,1143.6287671232876
Winter,Clear,Monday,October,morning,,,6.0032,164,201,365,2011,3684.928767123288
Spring,Clear,Saturday,January,evening,,,16.9979,4,26,30,2011,180.42876712328768
Winter,Mist,Tuesday,November,morning,,64.0,12.998,1,40,41,2012,189.02876712328765
Summer,Mist,Saturday,June,afternoon,29.52,37.0,,244,349,593,2012,5697.328767123287
Fall,Mist,Monday,August,morning,30.34,45.0,,40,265,305,2012,1827.328767123288
Fall,Clear,Friday,July,morning,30.34,,11.0014,58,202,260,2011,1866.028767123288
Summer,Clear,Friday,May,morning,22.96,,,34,584,618,2012,3095.828767123288
Fall,Clear,Tuesday,August,morning,30.34,,19.0012,37,398,435,2011,2347.628767123288
Summer,Clear,Friday,June,afternoon,34.44,44.0,7.0015,49,163,212,2011,1543.5287671232877
Summer,Clear,Saturday,June,evening,30.34,40.0,12.998,105,211,316,2012,2713.128767123288
Summer,Clear,Monday,June,morning,26.24,78.0,8.9981,0,7,7,2012,29.928767123287678
Fall,Clear,Friday,July,morning,32.8,41.0,11.0014,28,557,585,2012,2876.528767123288
Winter,Mist,Friday,December,evening,14.76,93.0,7.0015,9,162,171,2012,851.2287671232876
Fall,Clear,Saturday,July,morning,31.16,52.0,11.0014,87,177,264,2011,2257.328767123288
Spring,Clear,Tuesday,January,evening,15.58,46.0,7.0015,11,270,281,2012,1350.0287671232877
Winter,Clear,Thursday,November,morning,13.94,,,3,12,15,2011,103.02876712328768
Summer,Clear,Tuesday,April,morning,24.6,,32.9975,71,329,400,2012,2635.728767123288
Fall,Mist,Tuesday,September,morning,22.14,81.0,27.9993,18,167,185,2011,1027.5287671232877
Spring,Rainy,Monday,January,afternoon,9.02,87.0,6.0032,3,46,49,2012,249.22876712328767
Spring,Rainy,Sunday,March,morning,17.22,100.0,,0,5,5,2011,21.328767123287676
Spring,Mist,Wednesday,February,morning,9.84,,,8,245,253,2012,1190.9287671232876
Fall,Clear,Monday,July,evening,,59.0,8.9981,66,388,454,2012,2803.428767123288
Fall,Clear,Saturday,July,evening,28.7,58.0,,85,167,252,2011,2179.928767123288
Fall,Rainy,Tuesday,September,morning,22.14,,,0,2,2,2011,8.42876712328767
Spring,Clear,Sunday,February,afternoon,,46.0,0.0,47,135,182,2011,1388.7287671232878
Winter,Clear,Sunday,December,morning,8.2,51.0,15.0013,5,69,74,2011,382.5287671232877
Summer,Clear,Wednesday,April,morning,9.84,70.0,7.0015,1,12,13,2011,68.62876712328767
Fall,Clear,Tuesday,July,morning,27.88,,0.0,0,3,3,2012,12.728767123287671
Spring,Clear,Sunday,February,evening,16.4,,19.0012,11,50,61,2011,404.0287671232877
Fall,Clear,Saturday,September,afternoon,29.52,,15.0013,170,201,371,2011,3788.128767123288
Fall,Clear,Saturday,July,afternoon,34.44,34.0,6.0032,182,220,402,2011,4076.228767123288
Winter,Clear,Friday,December,morning,10.66,75.0,7.0015,0,10,10,2012,42.82876712328767
Summer,Clear,Wednesday,June,morning,21.32,63.0,15.0013,0,9,9,2011,38.52876712328767
Winter,Clear,Tuesday,October,morning,,83.0,16.9979,5,357,362,2012,1620.9287671232876
Winter,Clear,Sunday,October,morning,18.86,,,20,35,55,2011,494.32876712328766
Winter,Clear,Friday,October,morning,,66.0,6.0032,8,29,37,2012,262.1287671232877
Fall,Clear,Saturday,August,morning,24.6,78.0,,2,7,9,2012,64.32876712328768
Fall,Clear,Wednesday,August,morning,26.24,83.0,7.0015,0,13,13,2012,55.72876712328767
Fall,Clear,Sunday,September,morning,27.88,,6.0032,30,99,129,2012,941.5287671232876
Summer,Clear,Sunday,April,afternoon,18.86,31.0,0.0,71,101,172,2011,1655.3287671232877
Fall,Clear,Wednesday,August,morning,,51.0,,19,18,37,2011,404.0287671232877
Winter,Mist,Thursday,November,morning,,65.0,0.0,1,33,34,2012,158.92876712328766
Winter,Mist,Saturday,December,afternoon,,46.0,0.0,100,237,337,2011,2738.928767123288
